,season,team,line,over_odds,under_odds,source,source_date
0,2026,ARI,2.5,-320,250,draftkings,2026-08-15T20:43:34.996198+00:00
1,2026,ARI,3.5,-136,115,draftkings,2026-08-15T20:43:34.996198+00:00
2,2026,ARI,4.5,154,-186,draftkings,2026-08-15T20:43:34.996198+00:00
3,2026,ARI,5.5,270,-350,draftkings,2026-08-15T20:43:34.996198+00:00
4,2026,ARI,6.5,500,-750,draftkings,2026-08-15T20:43:34.996198+00:00
5,2026,ATL,5.5,-240,190,draftkings,2026-08-15T20:43:34.996198+00:00
6,2026,ATL,6.5,-150,130,draftkings,2026-08-15T20:43:34.996198+00:00
7,2026,ATL,7.5,120,-140,draftkings,2026-08-15T20:43:34.996198+00:00
8,2026,ATL,8.5,220,-280,draftkings,2026-08-15T20:43:34.996198+00:00
9,2026,ATL,9.5,425,-650,draftkings,2026-08-15T20:43:34.996198+00:00
10,2026,BAL,9.5,-280,220,draftkings,2026-08-15T20:43:34.996198+00:00
11,2026,BAL,10.5,-150,125,draftkings,2026-08-15T20:43:34.996198+00:00
12,2026,BAL,11.5,115,-140,draftkings,2026-08-15T20:43:34.996198+00:00
13,2026,BAL,12.5,215,-270,draftkings,2026-08-15T20:43:34.996198+00:00
14,2026,BAL,13.5,425,-600,draftkings,2026-08-15T20:43:34.996198+00:00
15,2026,BUF,8.5,-400,310,draftkings,2026-08-15T20:43:34.996198+00:00
16,2026,BUF,9.5,-210,170,draftkings,2026-08-15T20:43:34.996198+00:00
17,2026,BUF,10.5,-120,100,draftkings,2026-08-15T20:43:34.996198+00:00
18,2026,BUF,11.5,154,-190,draftkings,2026-08-15T20:43:34.996198+00:00
19,2026,BUF,12.5,290,-380,draftkings,2026-08-15T20:43:34.996198+00:00
20,2026,CAR,5.5,-310,245,draftkings,2026-08-15T20:43:34.996198+00:00
21,2026,CAR,6.5,-166,134,draftkings,2026-08-15T20:43:34.996198+00:00
22,2026,CAR,7.5,115,-136,draftkings,2026-08-15T20:43:34.996198+00:00
23,2026,CAR,8.5,180,-220,draftkings,2026-08-15T20:43:34.996198+00:00
24,2026,CAR,9.5,320,-430,draftkings,2026-08-15T20:43:34.996198+00:00
25,2026,CHI,7.5,-320,250,draftkings,2026-08-15T20:43:34.996198+00:00
26,2026,CHI,8.5,-180,140,draftkings,2026-08-15T20:43:34.996198+00:00
27,2026,CHI,9.5,105,-125,draftkings,2026-08-15T20:43:34.996198+00:00
28,2026,CHI,10.5,170,-210,draftkings,2026-08-15T20:43:34.996198+00:00
29,2026,CHI,11.5,310,-400,draftkings,2026-08-15T20:43:34.996198+00:00
30,2026,CIN,7.5,-500,370,draftkings,2026-08-15T20:43:34.996198+00:00
31,2026,CIN,8.5,-265,210,draftkings,2026-08-15T20:43:34.996198+00:00
32,2026,CIN,9.5,-160,130,draftkings,2026-08-15T20:43:34.996198+00:00
