,team,season,wt_rating,wt_rating_elo,sos,line,over_odds,under_odds,source,source_date,hold,over_probability,under_probability,line_adj
0,ARI,2003,-3.1503,1414.9924,0.1724,5.0,125,-155,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0523,0.4224,0.5776,4.8497
1,ATL,2003,1.5,1547.8571,0.3581,9.5,-115,-115,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0698,0.5,0.5,9.5
2,BAL,2003,-0.3333,1495.4781,0.3224,7.5,-160,130,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0502,0.586,0.414,7.6667
3,BUF,2003,0.5588,1520.9669,0.3235,8.5,-130,100,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0652,0.5306,0.4694,8.5588
4,CAR,2003,-0.5,1490.7143,0.3475,7.5,-115,-115,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0698,0.5,0.5,7.5
5,CHI,2003,-0.6667,1485.9505,0.2344,7.5,130,-160,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0502,0.414,0.586,7.3333
6,CIN,2003,-2.4412,1435.2526,0.3237,5.5,-130,100,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0652,0.5306,0.4694,5.5588
7,CLE,2003,0.4412,1517.6045,0.1852,8.5,100,-130,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0652,0.4694,0.5306,8.4412
8,DAL,2003,-0.6667,1485.9505,0.4124,7.5,130,-160,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0502,0.414,0.586,7.3333
9,DEN,2003,1.5194,1548.4124,0.3769,9.5,-120,-110,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0693,0.5101,0.4899,9.5194
10,DET,2003,-1.9026,1450.64,0.3352,6.0,-140,110,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0595,0.5506,0.4494,6.0974
11,GB,2003,1.8333,1557.3791,0.3296,10.0,130,-160,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0502,0.414,0.586,9.8333
12,HOU,2003,-2.9412,1420.9669,0.5036,5.0,-130,100,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0652,0.5306,0.4694,5.0588
13,IND,2003,0.5,1519.2857,0.4086,8.5,-115,-115,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0698,0.5,0.5,8.5
14,JAX,2003,-1.0588,1474.7474,0.3568,7.0,100,-130,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0652,0.4694,0.5306,6.9412
15,KC,2003,1.0588,1535.2526,0.2223,9.0,-130,100,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0652,0.5306,0.4694,9.0588
16,LAC,2003,0.3668,1515.4787,0.4752,8.5,120,-150,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0545,0.431,0.569,8.3668
17,LAR,2003,1.5588,1549.5383,-0.2281,9.5,-130,100,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0652,0.5306,0.4694,9.5588
18,MIA,2003,1.6156,1551.1611,0.2799,9.5,-145,115,not_tracked,2003-08-30T00:00:00.000000+00:00,0.057,0.5599,0.4401,9.6156
19,MIN,2003,0.0588,1506.6812,0.2952,8.0,-130,100,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0652,0.5306,0.4694,8.0588
20,NE,2003,0.6667,1524.0495,0.5201,8.5,-160,130,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0502,0.586,0.414,8.6667
21,NO,2003,0.0588,1506.6812,0.3772,8.0,-130,100,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0652,0.5306,0.4694,8.0588
22,NYG,2003,0.6156,1522.5897,0.7261,8.5,-145,115,not_tracked,2003-08-30T00:00:00.000000+00:00,0.057,0.5599,0.4401,8.6156
23,NYJ,2003,1.0,1533.5714,0.5589,9.0,-115,-115,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0698,0.5,0.5,9.0
24,OAK,2003,1.6332,1551.6642,0.4432,9.5,-150,120,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0545,0.569,0.431,9.6332
25,PHI,2003,2.3333,1571.6648,0.6175,10.5,130,-160,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0502,0.414,0.586,10.3333
26,PIT,2003,1.6332,1551.6642,0.1245,9.5,-150,120,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0545,0.569,0.431,9.6332
27,SEA,2003,-0.2919,1496.6606,-0.0156,7.5,-180,140,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0595,0.6067,0.3933,7.7081
28,SF,2003,1.3844,1544.5532,-0.0194,9.5,115,-145,not_tracked,2003-08-30T00:00:00.000000+00:00,0.057,0.4401,0.5599,9.3844
29,TB,2003,2.5,1576.4286,0.3331,10.5,-115,-115,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0698,0.5,0.5,10.5
30,TEN,2003,1.5785,1550.0996,0.2222,9.5,-135,105,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0623,0.5408,0.4592,9.5785
31,WAS,2003,-0.3668,1494.5213,0.6879,7.5,-150,120,not_tracked,2003-08-30T00:00:00.000000+00:00,0.0545,0.569,0.431,7.6332
32,ARI,2004,-2.4412,1435.2526,0.1021,5.5,-130,100,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0652,0.5306,0.4694,5.5588
33,ATL,2004,0.9806,1533.0162,-0.0919,9.0,-110,-120,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0693,0.4899,0.5101,8.9806
34,BAL,2004,0.9412,1531.8902,0.4747,9.0,100,-130,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0652,0.4694,0.5306,8.9412
35,BUF,2004,-0.5,1490.7143,0.2992,7.5,-115,-115,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0698,0.5,0.5,7.5
36,CAR,2004,0.4412,1517.6045,0.173,8.5,100,-130,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0652,0.4694,0.5306,8.4412
37,CHI,2004,-1.4412,1463.8241,0.2265,6.5,-130,100,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0652,0.5306,0.4694,6.5588
38,CIN,2004,-0.5,1490.7143,0.5455,7.5,-115,-115,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0698,0.5,0.5,7.5
39,CLE,2004,-0.6332,1486.9072,0.08,7.5,120,-150,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0545,0.431,0.569,7.3668
40,DAL,2004,1.0,1533.5714,0.107,9.0,-115,-115,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0698,0.5,0.5,9.0
41,DEN,2004,1.0,1533.5714,0.1776,9.0,-115,-115,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0698,0.5,0.5,9.0
42,DET,2004,-1.4412,1463.8241,0.2528,6.5,-130,100,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0652,0.5306,0.4694,6.5588
43,GB,2004,1.3844,1544.5532,0.1351,9.5,115,-145,not_tracked,2004-08-30T00:00:00.000000+00:00,0.057,0.4401,0.5599,9.3844
44,HOU,2004,-1.5588,1460.4617,0.3301,6.5,100,-130,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0652,0.4694,0.5306,6.4412
45,IND,2004,2.3668,1572.6215,0.2234,10.5,120,-150,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0545,0.431,0.569,10.3668
46,JAX,2004,-0.4026,1493.4971,0.1048,7.5,-140,110,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0595,0.5506,0.4494,7.5974
47,KC,2004,1.9412,1560.4617,0.0781,10.0,100,-130,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0652,0.4694,0.5306,9.9412
48,LAC,2004,-3.5974,1402.2171,0.5909,4.5,110,-140,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0595,0.4494,0.5506,4.4026
49,LAR,2004,1.4026,1545.0743,0.1698,9.5,110,-140,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0595,0.4494,0.5506,9.4026
50,MIA,2004,1.4026,1545.0743,0.2741,9.5,110,-140,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0595,0.4494,0.5506,9.4026
51,MIN,2004,0.5974,1522.0686,0.3164,8.5,-140,110,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0595,0.5506,0.4494,8.5974
52,NE,2004,2.4412,1574.7474,0.4372,10.5,100,-130,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0652,0.4694,0.5306,10.4412
53,NO,2004,-0.5,1490.7143,0.1514,7.5,-115,-115,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0698,0.5,0.5,7.5
54,NYG,2004,-1.9215,1450.0996,0.3533,6.0,-135,105,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0623,0.5408,0.4592,6.0785
55,NYJ,2004,0.8668,1529.7644,-0.3564,9.0,120,-150,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0545,0.431,0.569,8.8668
56,OAK,2004,-0.4412,1492.3955,0.0983,7.5,-130,100,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0652,0.5306,0.4694,7.5588
57,PHI,2004,2.4412,1574.7474,0.2237,10.5,100,-130,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0652,0.4694,0.5306,10.4412
58,PIT,2004,-0.5588,1489.0331,0.4862,7.5,100,-130,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0652,0.4694,0.5306,7.4412
59,SEA,2004,0.9412,1531.8902,0.0724,9.0,100,-130,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0652,0.4694,0.5306,8.9412
60,SF,2004,-2.9412,1420.9669,0.3435,5.0,-130,100,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0652,0.5306,0.4694,5.0588
61,TB,2004,1.0588,1535.2526,-0.1745,9.0,-130,100,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0652,0.5306,0.4694,9.0588
62,TEN,2004,1.5588,1549.5383,-0.0178,9.5,-130,100,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0652,0.5306,0.4694,9.5588
63,WAS,2004,0.9412,1531.8902,-0.0309,9.0,100,-130,not_tracked,2004-08-30T00:00:00.000000+00:00,0.0652,0.4694,0.5306,8.9412
64,ARI,2005,-0.8668,1480.2356,-0.0208,7.0,-150,120,not_tracked,2005-08-30T00:00:00.000000+00:00,0.0545,0.569,0.431,7.1332
65,ATL,2005,1.4026,1545.0743,0.3313,9.5,110,-140,not_tracked,2005-08-30T00:00:00.000000+00:00,0.0595,0.4494,0.5506,9.4026
66,BAL,2005,1.9215,1559.9004,0.0359,10.0,105,-135,not_tracked,2005-08-30T00:00:00.000000+00:00,0.0623,0.4592,0.5408,9.9215
67,BUF,2005,0.0785,1507.2424,0.3101,8.0,-135,105,not_tracked,2005-08-30T00:00:00.000000+00:00,0.0623,0.5408,0.4592,8.0785
68,CAR,2005,1.0588,1535.2526,-0.0421,9.0,-130,100,not_tracked,2005-08-30T00:00:00.000000+00:00,0.0652,0.5306,0.4694,9.0588
69,CHI,2005,-1.0588,1474.7474,0.0306,7.0,100,-130,not_tracked,2005-08-30T00:00:00.000000+00:00,0.0652,0.4694,0.5306,6.9412
70,CIN,2005,0.0,1505.0,0.3231,8.0,-115,-115,not_tracked,2005-08-30T00:00:00.000000+00:00,0.0698,0.5,0.5,8.0
71,CLE,2005,-3.1156,1415.9817,0.3944,5.0,115,-145,not_tracked,2005-08-30T00:00:00.000000+00:00,0.057,0.4401,0.5599,4.8844
72,DAL,2005,0.0974,1507.7829,0.1274,8.0,-140,110,not_tracked,2005-08-30T00:00:00.000000+00:00,0.0595,0.5506,0.4494,8.0974
73,DEN,2005,0.5974,1522.0686,0.6448,8.5,-140,110,not_tracked,2005-08-30T00:00:00.000000+00:00,0.0595,0.5506,0.4494,8.5974
